Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/04/2020,AQS,240031003,1,9,ug/m3 SC,8,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
01/10/2020,AQS,240031003,1,12,ug/m3 SC,11,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
01/16/2020,AQS,240031003,1,6,ug/m3 SC,6,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
01/22/2020,AQS,240031003,1,14,ug/m3 SC,13,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
01/28/2020,AQS,240031003,1,4,ug/m3 SC,4,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
02/03/2020,AQS,240031003,1,16,ug/m3 SC,15,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
02/09/2020,AQS,240031003,1,7,ug/m3 SC,6,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
02/15/2020,AQS,240031003,1,5,ug/m3 SC,5,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
02/21/2020,AQS,240031003,1,9,ug/m3 SC,8,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
02/27/2020,AQS,240031003,1,2,ug/m3 SC,2,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
03/04/2020,AQS,240031003,1,5,ug/m3 SC,5,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
03/10/2020,AQS,240031003,1,11,ug/m3 SC,10,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
03/16/2020,AQS,240031003,1,9,ug/m3 SC,8,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
03/22/2020,AQS,240031003,1,8,ug/m3 SC,7,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
03/28/2020,AQS,240031003,1,10,ug/m3 SC,9,GLEN BURNIE,1,100.0,81102,PM10 Total 0-10um STP,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,3,Anne Arundel,39.169533,-76.627933
