Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/04/2020,AQS,510350001,1,3,ug/m3 SC,3,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
01/10/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
01/16/2020,AQS,510350001,1,3,ug/m3 SC,3,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
01/22/2020,AQS,510350001,1,12,ug/m3 SC,11,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
01/28/2020,AQS,510350001,1,5,ug/m3 SC,5,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
02/03/2020,AQS,510350001,1,7,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
02/09/2020,AQS,510350001,1,9,ug/m3 SC,8,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
02/15/2020,AQS,510350001,1,5,ug/m3 SC,5,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
02/21/2020,AQS,510350001,1,4,ug/m3 SC,4,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
02/27/2020,AQS,510350001,1,1,ug/m3 SC,1,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
03/04/2020,AQS,510350001,1,4,ug/m3 SC,4,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
03/10/2020,AQS,510350001,1,7,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
03/16/2020,AQS,510350001,1,5,ug/m3 SC,5,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
04/03/2020,AQS,510350001,1,4,ug/m3 SC,4,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
04/09/2020,AQS,510350001,1,6,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
04/15/2020,AQS,510350001,1,7,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
04/21/2020,AQS,510350001,1,8,ug/m3 SC,7,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
04/27/2020,AQS,510350001,1,4,ug/m3 SC,4,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
05/03/2020,AQS,510350001,1,9,ug/m3 SC,8,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
05/09/2020,AQS,510350001,1,6,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
05/15/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
05/21/2020,AQS,510350001,1,2,ug/m3 SC,2,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
05/27/2020,AQS,510350001,1,4,ug/m3 SC,4,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
06/02/2020,AQS,510350001,1,12,ug/m3 SC,11,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
06/14/2020,AQS,510350001,1,7,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
06/20/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
07/02/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
07/08/2020,AQS,510350001,1,13,ug/m3 SC,12,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
07/14/2020,AQS,510350001,1,13,ug/m3 SC,12,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
07/20/2020,AQS,510350001,1,13,ug/m3 SC,12,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
07/26/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
08/01/2020,AQS,510350001,1,16,ug/m3 SC,15,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
08/07/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
08/13/2020,AQS,510350001,1,13,ug/m3 SC,12,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
08/19/2020,AQS,510350001,1,9,ug/m3 SC,8,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
08/25/2020,AQS,510350001,1,14,ug/m3 SC,13,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
08/31/2020,AQS,510350001,1,9,ug/m3 SC,8,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
09/06/2020,AQS,510350001,1,10,ug/m3 SC,9,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
09/12/2020,AQS,510350001,1,9,ug/m3 SC,8,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
09/18/2020,AQS,510350001,1,14,ug/m3 SC,13,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
09/24/2020,AQS,510350001,1,8,ug/m3 SC,7,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
09/30/2020,AQS,510350001,1,2,ug/m3 SC,2,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
10/06/2020,AQS,510350001,1,12,ug/m3 SC,11,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
10/12/2020,AQS,510350001,1,5,ug/m3 SC,5,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
10/18/2020,AQS,510350001,1,7,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
10/24/2020,AQS,510350001,1,4,ug/m3 SC,4,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
10/30/2020,AQS,510350001,1,1,ug/m3 SC,1,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
11/05/2020,AQS,510350001,1,15,ug/m3 SC,14,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
11/11/2020,AQS,510350001,1,3,ug/m3 SC,3,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
11/17/2020,AQS,510350001,1,3,ug/m3 SC,3,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
11/23/2020,AQS,510350001,1,2,ug/m3 SC,2,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
11/29/2020,AQS,510350001,1,7,ug/m3 SC,6,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
12/05/2020,AQS,510350001,1,1,ug/m3 SC,1,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
12/11/2020,AQS,510350001,1,11,ug/m3 SC,10,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
12/23/2020,AQS,510350001,1,9,ug/m3 SC,8,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
12/29/2020,AQS,510350001,1,8,ug/m3 SC,7,"Gladeville Elementary School, Galax",1,100.0,81102,PM10 Total 0-10um STP,,,51,Virginia,35,Carroll,36.700670000904395,-80.87978000000001
01/04/2020,AQS,510590030,1,2,ug/m3 SC,2,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
01/10/2020,AQS,510590030,1,7,ug/m3 SC,6,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
01/16/2020,AQS,510590030,1,1,ug/m3 SC,1,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
01/22/2020,AQS,510590030,1,6,ug/m3 SC,6,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
01/28/2020,AQS,510590030,1,4,ug/m3 SC,4,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
02/03/2020,AQS,510590030,1,7,ug/m3 SC,6,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
02/09/2020,AQS,510590030,1,4,ug/m3 SC,4,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
02/15/2020,AQS,510590030,1,4,ug/m3 SC,4,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
02/21/2020,AQS,510590030,1,4,ug/m3 SC,4,Lee District Park,1,100.0,81102,PM10 Total 0-10um STP,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,59,Fairfax,38.7733500009214,-77.10468
